"a * ( 1 -e ) > 30" a e i Om om M kbo._epoch_M kbo._epoch kbo._H kbo._G kbo.name
True 1190.0             0.945     11.669              5.252             2.062              0.5847638626702577 43580.5 42980.5 7.099999904632568 0.15000000596046448 15760
True 43.800880432128906 0.0683013 0.03808814708090657 6.271610143817666 6.2830505512284285 0.5847638626702577 43580.5 42980.5 7.099999904632568 0.15000000596046448 15760
True 39.428951263427734 0.1875004 0.08996648350375809 6.1890207247243465 5.516749916007938 1.2353095353201813 43580.5 42980.5 7.0 0.15000000596046448 15789
True 43.934268951416016 0.0593229 0.009768782806411686 3.0817437007285515 5.404246806286413 1.2804583715964035 43580.5 42980.5 7.400000095367432 0.15000000596046448 15807
True 42.61751937866211 0.2240909 0.24479603634537503 0.9817252005355992 4.136169337439734 6.194765695827866 43580.5 42980.5 7.800000190734863 0.15000000596046448 15809
True 39.690269470214844 0.1235019 0.06635549649036084 2.526472749234267 1.8125646152969606 0.5579185663815002 43580.5 42980.5 7.699999809265137 0.15000000596046448 15810
True 36.41168212890625 0.0721854 0.1145166342755718 2.226123172549839 5.856578858481973 1.06766241285623 43580.5 42980.5 7.699999809265137 0.15000000596046448 15836
True 82.53219604492188 0.5760542 0.41910156087722883 3.80187524265921 3.215126259712407 0.15121864762098414 43580.5 42980.5 5.300000190734863 0.15000000596046448 15874
True 46.97590637207031 0.2099986 0.3348452692576289 2.2212025829617543 5.247926174517596 1.2507538722718232 43580.5 42980.5 7.099999904632568 0.15000000596046448 15883
True 44.43104934692383 0.056528 0.06532488227682459 0.4474844332213437 4.331893035432927 5.7871747499456365 43580.5 42980.5 6.900000095367432 0.15000000596046448 16684
True 42.551597595214844 0.0346913 0.025955663165427443 1.2631335765990566 2.1735224120694117 4.529229011150054 43580.5 42980.5 7.0 0.15000000596046448 19255
True 43.23463439941406 0.1220028 0.47862337768806795 6.1995577878933545 4.206746302120141 2.425155448723293 43580.5 42980.5 4.800000190734863 0.15000000596046448 19308
True 45.46609115600586 0.098734 0.21043400116938238 0.8734088463637875 1.0208883159457594 5.947228600930527 43580.5 42980.5 4.800000190734863 0.15000000596046448 19521
True 42.78009033203125 0.0541236 0.30054045875555935 1.6994147569047093 4.587626274901094 2.0463801721518298 43580.5 42980.5 3.5999999046325684 0.15000000596046448 20000
True 39.30956268310547 0.1468437 0.34157261390825083 3.2818123460402093 2.466203016920793 1.134911558017502 43580.5 42980.5 7.699999809265137 0.15000000596046448 20108
True 41.59070587158203 0.1002345 0.47247460478426573 0.36769166616774385 1.2541881516555349 5.798136320992403 43580.5 42980.5 4.599999904632568 0.15000000596046448 24835
True 39.189971923828125 0.2225357 0.28906160195655894 6.0528261339454765 1.431244155671709 5.974573406371242 43580.5 42980.5 7.599999904632568 0.15000000596046448 24952
True 43.67019271850586 0.050594 0.04174844977857111 0.8800389856346215 2.3651991704701207 1.1572024826575742 43580.5 42980.5 7.5 0.15000000596046448 24978
True 94.80292510986328 0.595379 0.23281976763377507 3.3883318654245445 6.233572746600283 0.19865092815011087 43580.5 42980.5 4.900000095367432 0.15000000596046448 26181
True 55.5052375793457 0.4168488 0.13315763006266318 5.638648125423045 2.790402133273262 0.5016872182555084 43580.5 42980.5 4.900000095367432 0.15000000596046448 26375
True 39.790489196777344 0.2434759 0.34169288892098154 1.238981368673128 5.2048926870952235 5.01045210011523 43580.5 42980.5 3.5999999046325684 0.15000000596046448 28978
True 43.336021423339844 0.0414666 0.025491405527804777 6.110913938377848 4.713960778060055 4.241147419185131 43580.5 42980.5 6.0 0.15000000596046448 33001
True 37.82395553588867 0.0399826 0.08050244122745713 3.352960026142221 4.636906472976356 5.069873082989296 43580.5 42980.5 5.5 0.15000000596046448 35671
True 39.13193893432617 0.1500083 0.22244780380759566 0.17457428742011324 1.4184854835213574 1.8031308997675728 43580.5 42980.5 7.099999904632568 0.15000000596046448 38083
True 56.359375 0.422203 0.2294779831636732 2.9050259181708173 1.1656905096838748 0.0019050268770953946 43580.5 42980.5 7.0 0.15000000596046448 38084
True 49.30998611450195 0.3114559 0.43257059795884545 3.588222877891494 1.0239757851765154 6.087467468140791 43580.5 42980.5 5.5 0.15000000596046448 40314
True 51.464088439941406 0.2868967 0.013145471331550404 5.25996472790919 5.9895701991016965 1.3981218885621753 43580.5 42980.5 4.099999904632568 0.15000000596046448 42301
True 43.629920959472656 0.0145867 0.020645848422838255 3.0235230045577843 1.36748594864634 1.3241515240207886 43580.5 42980.5 8.0 0.15000000596046448 45802
True 39.26615524291992 0.2220779 0.1470284632513671 1.693195343652993 5.140253506381256 0.10771403867939833 43580.5 42980.5 4.699999809265137 0.15000000596046448 47171
True 52.2960319519043 0.2370342 0.004364544959165628 4.537988147975325 1.4604905912887955 0.8080064702604307 43580.5 42980.5 4.800000190734863 0.15000000596046448 48639
True 43.24009704589844 0.1026814 0.3925491457293527 2.308238682127179 4.673159019631169 5.4402175904978956 43580.5 42980.5 7.699999809265137 0.15000000596046448 49673
True 43.69179916381836 0.0395519 0.13941917119387343 3.2958266986445333 2.555199735280734 5.248428979331403 43580.5 42980.5 2.4000000953674316 0.15000000596046448 50000
True 44.781097412109375 0.0653283 0.009580460906937555 1.1185682710399039 4.249562475597563 5.636972997097385 43580.5 42980.5 7.900000095367432 0.15000000596046448 52747
True 44.39409637451172 0.0670728 0.006504842222883645 0.8956263343368007 4.144052294266368 5.364999268669697 43580.5 42980.5 6.599999904632568 0.15000000596046448 53311
True 47.19438171386719 0.1315867 0.4265118731894016 5.193780381130759 5.172134207790595 5.141202124361542 43580.5 42980.5 3.299999952316284 0.15000000596046448 55565
True 43.144935607910156 0.1253344 0.45102537220671307 5.663240287561055 5.917475765232162 1.3549428593862303 43580.5 42980.5 3.4000000953674316 0.15000000596046448 55636
True 42.491519927978516 0.1393254 0.33974734987613775 3.5719126141114126 4.862171019045144 5.201754418066674 43580.5 42980.5 3.5999999046325684 0.15000000596046448 55637
True 45.26686477661133 0.1175603 0.05060093456123821 2.314252898816905 5.890852143814639 1.088557175294828 43580.5 42980.5 6.599999904632568 0.15000000596046448 58534
True 41.37758255004883 0.2050334 0.17528603386619374 2.0971996773371577 5.7283172919582315 0.8783184504123758 43580.5 42980.5 6.900000095367432 0.15000000596046448 59358
True 44.45875930786133 0.0899123 0.020404295550778863 5.59181963344731 5.074889945850788 5.301332141753609 43580.5 42980.5 6.400000095367432 0.15000000596046448 60454
True 59.62244415283203 0.4062883 0.3444274560177885 5.452358941907566 4.394861348878978 5.97901662433393 43580.5 42980.5 6.699999809265137 0.15000000596046448 60458
True 44.14760971069336 0.2271908 0.34028770526131485 3.2256915523889695 1.4039647308357548 5.7201312673995455 43580.5 42980.5 6.599999904632568 0.15000000596046448 60620
True 55.650291442871094 0.4031905 0.10249132178802234 0.06879983312380883 2.5140669459283513 0.5567359564099368 43580.5 42980.5 6.900000095367432 0.15000000596046448 60621
True 45.1100959777832 0.0661811 0.04639887831882429 2.345398834081491 1.603071974993894 1.8459884853999455 43580.5 42980.5 6.900000095367432 0.15000000596046448 66452
True 43.83430099487305 0.0906165 0.00983353403130614 1.4847250908924077 3.445885706058356 1.0649451230169948 43580.5 42980.5 5.900000095367432 0.15000000596046448 66652
True 39.21813201904297 0.2228426 0.24370974958148853 4.085131719361128 2.533550366147262 0.8531917918435872 43580.5 42980.5 8.0 0.15000000596046448 69986
True 42.28089141845703 0.0222538 0.018249163647551265 2.3818282146326846 3.5052984331330426 1.6876080316860067 43580.5 42980.5 7.099999904632568 0.15000000596046448 69987
True 54.92026901245117 0.4294667 0.1651551027634233 0.3621587825555361 5.391752852348415 0.8107450653883864 43580.5 42980.5 7.400000095367432 0.15000000596046448 69988
True 39.020198822021484 0.1843184 0.11511999838766447 4.140799509310945 2.4478674191317067 0.9135466787329166 43580.5 42980.5 8.100000381469727 0.15000000596046448 69990
True 38.74315643310547 0.1257957 0.5877300249133608 2.221928294358801 2.2318986368478395 1.1859682176979016 43580.5 42980.5 7.300000190734863 0.15000000596046448 76803
True 43.74992370605469 0.0108362 0.0393583958582795 5.3135129079474135 4.3371048416862115 5.411956125009974 43580.5 42980.5 5.300000190734863 0.15000000596046448 79360
True 35.008541107177734 0.0826226 0.055549816074716 5.835336420363065 2.793855986890986 0.9529979481730234 43580.5 42980.5 7.400000095367432 0.15000000596046448 79969
True 53.71601486206055 0.2722327 0.32756704973552414 5.8818011245338955 1.7674159121787927 0.8130618157996736 43580.5 42980.5 5.699999809265137 0.15000000596046448 79978
True 46.48676300048828 0.1430297 0.17157162322531935 5.845147505818917 3.1143418577355573 0.37755065523370357 43580.5 42980.5 5.800000190734863 0.15000000596046448 79983
True 42.12557601928711 0.0640919 0.06553990756771327 0.7977234726594168 0.06740566413196314 1.803254603600207 43580.5 42980.5 6.599999904632568 0.15000000596046448 80806
True 57.56809616088867 0.2852486 0.3464225631484214 2.2164103577382113 5.513674497581115 0.5853380402012788 43580.5 42980.5 4.5 0.15000000596046448 82075
True 86.81099700927734 0.6264275 0.22196643744056382 0.04215668324535584 3.484542288229183 0.06410803820168616 43580.5 42980.5 6.099999904632568 0.15000000596046448 82155
True 38.695308685302734 0.062741 0.09371545698215467 2.6317208755141985 1.967839823179867 5.095884709988318 43580.5 42980.5 6.900000095367432 0.15000000596046448 82157
True 223.96400451660156 0.8468337 0.5374137573055168 3.130396458050991 0.12636288246932703 0.028501751277867877 43580.5 42980.5 6.199999809265137 0.15000000596046448 82158
True 54.97626495361328 0.2897172 0.6123011480787588 0.4167999904841551 1.5217381031964925 5.6638735872682755 43580.5 42980.5 3.9000000953674316 0.15000000596046448 84522
True 39.21674346923828 0.0716532 0.2586344039359152 5.281873488932836 1.937822801901366 0.40980975854442875 43580.5 42980.5 4.199999809265137 0.15000000596046448 84922
True 44.375518798828125 0.0932499 0.026442784457127357 0.9769075421236458 4.328200562581531 5.610088918525253 43580.5 42980.5 7.400000095367432 0.15000000596046448 85627
True 43.687965393066406 0.028075 0.020776749032199452 1.7796832311080246 5.666729028589058 4.630402500962164 43580.5 42980.5 6.699999809265137 0.15000000596046448 85633
True 44.04764938354492 0.1735515 0.42184921075289084 5.266367499801959 5.3411895432599525 1.120239537781983 43580.5 42980.5 6.800000190734863 0.15000000596046448 86047
True 45.26531982421875 0.2367342 0.38662044980013194 5.699474192088237 0.880144047339625 6.1239602319259285 43580.5 42980.5 7.099999904632568 0.15000000596046448 86177
True 43.31855392456055 0.022953 0.00872559920073838 1.97106571020828 0.9386029632698999 1.5966179372501415 43580.5 42980.5 7.199999809265137 0.15000000596046448 88267
True 42.826454162597656 0.0226043 0.03291289479417744 1.5177721237011463 3.7869796500501787 5.741683697469339 43580.5 42980.5 6.300000190734863 0.15000000596046448 88268
True 44.12935256958008 0.0265703 0.044861069236871665 5.315410676540203 4.295847682710923 2.665944892366698 43580.5 42980.5 5.800000190734863 0.15000000596046448 88611
True 478.8783264160156 0.8409536 0.2082158542974554 2.518962368644135 5.437022329822018 6.248893912351508 43580.5 42980.5 1.5 0.15000000596046448 90377
True 39.265785217285156 0.2241665 0.3594165255810815 4.6915550711769995 1.259417135297851 3.1476492145408512 43580.5 42980.5 2.200000047683716 0.15000000596046448 90482
True 42.2188606262207 0.0800847 0.3826231115829502 4.375101758855027 5.165156725734588 0.6382216949685 43580.5 42980.5 3.799999952316284 0.15000000596046448 90568
True 39.74432373046875 0.2343598 0.1035961091991065 0.8759252672778033 3.177178078391541 0.5005879985155782 43580.5 42980.5 7.599999904632568 0.15000000596046448 91133
True 39.0634880065918 0.131389 0.185496909735937 3.9084621400191244 2.420525010535972 1.1592532498549897 43580.5 42980.5 8.0 0.15000000596046448 91205
True 102.50012969970703 0.698405 0.4448821586516864 5.962379324371987 5.8550592587639745 0.12460638624998688 43580.5 42980.5 7.800000190734863 0.15000000596046448 91554
True 53.73772430419922 0.3825863 0.24310306484041166 0.4909691600009164 3.2589078290849827 0.3495828032559639 43580.5 42980.5 7.400000095367432 0.15000000596046448 95625
True 39.196006774902344 0.1185419 0.25603961950682375 0.18758799053435357 0.3148392369643038 0.542229817820816 43580.5 42980.5 6.900000095367432 0.15000000596046448 118228
True 44.10524368286133 0.119814 0.0880471516285164 1.535583478229651 3.2631310699416303 5.719507022440031 43580.5 42980.5 7.599999904632568 0.15000000596046448 118378
True 45.63311004638672 0.2337174 0.2671606972581288 0.9949722298508441 1.6951229396499923 1.1479629115716534 43580.5 42980.5 7.599999904632568 0.15000000596046448 118379
True 43.86613082885742 0.2344135 0.19522189186479527 4.972970238301237 1.4169628211681045 5.793290433072895 43580.5 42980.5 8.199999809265137 0.15000000596046448 118698
True 98.8615493774414 0.6041743 0.40720328949605455 5.707928130652585 6.0834029516851125 0.19424083325348052 43580.5 42980.5 6.800000190734863 0.15000000596046448 118702
True 44.045806884765625 0.0843083 0.11736850529601836 0.8310486726440143 4.67132516690454 5.540523955059076 43580.5 42980.5 6.800000190734863 0.15000000596046448 119066
True 43.92539596557617 0.191395 0.1255959836215467 0.7461971645207817 5.267827977343758 5.263162651746157 43580.5 42980.5 6.599999904632568 0.15000000596046448 119067
True 55.828147888183594 0.3649638 0.22485688268492451 1.0083488219531214 3.15379685560119 0.27328976276986444 43580.5 42980.5 6.699999809265137 0.15000000596046448 119068
True 44.09882736206055 0.1824812 0.05784998414702824 0.3842188777081257 3.8248255659851855 0.36288239671322425 43580.5 42980.5 7.0 0.15000000596046448 119070
True 53.75706481933594 0.3432009 0.27506545871618837 5.534172848491455 2.64676134408653 0.4518380025238371 43580.5 42980.5 6.099999904632568 0.15000000596046448 119878
True 39.086647033691406 0.0442275 0.006943094508580606 5.011700057402042 1.1096689853622677 4.784842408369167 43580.5 42980.5 4.699999809265137 0.15000000596046448 119951
True 43.642601013183594 0.1770379 0.07064726381080759 1.8404551024450333 2.680366442301695 1.5399992656331112 43580.5 42980.5 6.099999904632568 0.15000000596046448 119956
True 47.56230163574219 0.2595043 0.16059768512424114 1.9142716694334683 0.7951041205692694 5.554658416228563 43580.5 42980.5 4.699999809265137 0.15000000596046448 119979
True 49.659629821777344 0.2518552 0.2056676751874403 5.965772191600748 3.0649354258246255 0.5511641573563003 43580.5 42980.5 4.599999904632568 0.15000000596046448 120132
True 43.373050689697266 0.1093638 0.47426478166901703 3.1935724980620686 1.2304227678779402 1.2622110575974532 43580.5 42980.5 3.9000000953674316 0.15000000596046448 120178
True 42.05842590332031 0.1084647 0.4175085910711979 4.885059290717721 5.427910057836203 2.146176275048151 43580.5 42980.5 4.0 0.15000000596046448 120347
True 38.70956039428711 0.0639843 0.43346508718997584 2.450566799212611 0.026627441389210728 4.691661597620603 43580.5 42980.5 4.300000190734863 0.15000000596046448 120348
True 44.12846374511719 0.0402753 0.034389270159327905 3.2434401894738025 5.16116411462834 5.747963431319746 43580.5 42980.5 6.599999904632568 0.15000000596046448 123509
True 42.18280029296875 0.1369339 0.19373085454948716 1.9008816949467133 6.20170908942192 0.4368492658556804 43580.5 42980.5 5.5 0.15000000596046448 126154
True 71.55400848388672 0.4678314 0.2789936712583257 6.0560283188401876 2.8252376119120437 0.2552029208713481 43580.5 42980.5 7.199999809265137 0.15000000596046448 126619
True 47.22859573364258 0.1955148 0.014537196665036481 4.340532596325253 5.3769701777696035 6.24612582271448 43580.5 42980.5 6.599999904632568 0.15000000596046448 126719
True 35.03903579711914 0.0839447 0.04139222701563779 1.3707941273524364 0.7087197635016144 1.1323282917601252 43580.5 42980.5 7.0 0.15000000596046448 127871
True 43.92951965332031 0.0398721 0.057570556130840875 1.455797302499749 2.309547892119062 0.022674270034232325 43580.5 42980.5 7.199999809265137 0.15000000596046448 129772
True 47.92825698852539 0.2859286 0.40871683052257385 0.8013464370063605 2.9793028125536725 0.4203487525052266 43580.5 42980.5 8.0 0.15000000596046448 130391
True 39.59601593017578 0.1771692 0.23904449056291496 0.03653689735782744 3.018514397495672 0.5378340374150449 43580.5 42980.5 7.800000190734863 0.15000000596046448 131318
True 37.11257553100586 0.0487964 0.07449013036238628 1.6545110646068288 0.09295554060985738 0.5758041898149041 43580.5 42980.5 7.699999809265137 0.15000000596046448 131695
True 52.70746994018555 0.3190417 0.009085486410913808 6.2687967804421065 2.3361254408497256 0.05271697001130668 43580.5 42980.5 7.400000095367432 0.15000000596046448 131696
True 34.853450775146484 0.074743 0.0500031589262455 5.639777838357457 3.878981745700274 5.584849075610136 43580.5 42980.5 8.199999809265137 0.15000000596046448 131697
True 62.20380401611328 0.3956486 0.112953516840885 5.519404022350312 0.3815516552973841 0.15196023811603035 43580.5 42980.5 6.800000190734863 0.15000000596046448 134210
True 43.61531066894531 0.1504667 0.1781822381964117 4.827216497105637 0.996268989564631 0.5148049178103163 43580.5 42980.5 8.100000381469727 0.15000000596046448 134568
True 42.95510482788086 0.0233177 0.019457629168228963 1.6897939543087437 2.731212312781815 1.5474559835272785 43580.5 42980.5 6.099999904632568 0.15000000596046448 134860
True 43.99208068847656 0.111447 0.03755093339357794 0.772085487161333 5.134758872420205 4.811872960801254 43580.5 42980.5 6.900000095367432 0.15000000596046448 135024
True 37.02585220336914 0.0220311 0.03222959839867956 3.912152482341647 0.8871206638682784 1.775865856001505 43580.5 42980.5 6.199999809265137 0.15000000596046448 135182
True 56.05767059326172 0.3602842 0.255992331752718 0.6234591938349455 4.030797374169113 6.218339997797247 43580.5 42980.5 7.199999809265137 0.15000000596046448 135571
True 43.753292083740234 0.1281893 0.09494259167819274 5.877479346716915 5.05817328368836 1.2246073561635888 43580.5 42980.5 7.300000190734863 0.15000000596046448 135742
True 43.286678314208984 0.1920543 0.4923774395853503 2.1312006544483633 4.163686183086868 3.7797835224686755 43580.5 42980.5 0.20000000298023224 0.15000000596046448 136108
True 63.08222579956055 0.4848991 0.3501472602490062 4.158763862444075 5.985187701211862 0.28092837456648423 43580.5 42980.5 7.900000095367432 0.15000000596046448 136120
True 67.74492645263672 0.4387936 0.770465819165374 0.6266517247707053 2.647420210140216 3.5846465188636265 43580.5 42980.5 -1.100000023841858 0.15000000596046448 136199
True 45.558345794677734 0.1580683 0.5058025345089806 1.3900790089120816 5.150115724530037 2.8615745807734116 43580.5 42980.5 -0.20000000298023224 0.15000000596046448 136472
True 45.062435150146484 0.1095229 0.023632107129198346 2.6061928785691353 1.9984671078221599 1.3391672251949824 43580.5 42980.5 6.5 0.15000000596046448 137294
True 47.368927001953125 0.290071 0.2215316763926084 3.0669857935478775 3.6332201803016906 0.10090446893012023 43580.5 42980.5 7.400000095367432 0.15000000596046448 137295
True 46.581336975097656 0.1403453 0.08525322932891427 0.07620334189163425 6.244701031531287 6.229116212832143 43580.5 42980.5 6.199999809265137 0.15000000596046448 138537
True 44.70149612426758 0.268885 0.27412927436924145 6.206246583287197 5.466264371223306 0.8606117581147114 43580.5 42980.5 7.099999904632568 0.15000000596046448 138628
True 39.261714935302734 0.1917458 0.11328513033087032 2.8366929330249104 3.637521451778278 0.2238028701044984 43580.5 42980.5 6.800000190734863 0.15000000596046448 139775
True 55.245338439941406 0.4130443 0.13186154446152726 4.626929206268483 1.9549918019749433 0.22650499657027687 43580.5 42980.5 5.699999809265137 0.15000000596046448 143707
True 41.988426208496094 0.2504121 0.1336658693895696 0.5098998744250948 6.0416925226922915 0.35488915172794677 43580.5 42980.5 8.600000381469727 0.15000000596046448 143751
True 44.362335205078125 0.1349922 0.3393118897483962 1.1687447559800321 1.1654239272587579 5.690947282910021 43580.5 42980.5 5.900000095367432 0.15000000596046448 143991
True 38.871124267578125 0.0442417 0.16635658788921256 2.5813980498721705 2.6031483528109565 1.7847200676776915 43580.5 42980.5 4.400000095367432 0.15000000596046448 144897
True 89.61793518066406 0.6085715 0.5029897370551526 1.4766764854459702 5.551849313910747 0.10805158602518747 43580.5 42980.5 4.400000095367432 0.15000000596046448 145451
True 41.63093185424805 0.0246608 0.33661154427159673 3.263084198306445 2.8716453244355464 6.156631359546803 43580.5 42980.5 3.700000047683716 0.15000000596046448 145452
True 43.031646728515625 0.1373058 0.498803247821548 1.4972949449214727 4.84817024856238 0.8606995092726295 43580.5 42980.5 4.0 0.15000000596046448 145453
True 91.0896224975586 0.6370495 0.28411131812231966 2.9731748788854 4.837226254378808 6.1549599596466695 43580.5 42980.5 6.099999904632568 0.15000000596046448 145474
True 75.95511627197266 0.3917947 0.4623380810432062 3.1492737428057995 2.9832048761828567 0.02665152635231913 43580.5 42980.5 4.400000095367432 0.15000000596046448 145480
True 43.89310836791992 0.043135 0.013909227441185 3.3525640140881263 1.4913615551708306 1.6529166300621985 43580.5 42980.5 7.099999904632568 0.15000000596046448 148112
True 217.73170471191406 0.7971127 0.39795233339647357 2.240072144549402 5.526632906813222 0.1059659230951135 43580.5 42980.5 6.300000190734863 0.15000000596046448 148209
True 44.01480484008789 0.0656629 0.09074437621341343 0.03185522660903627 5.1706561533856 2.2617878263940168 43580.5 42980.5 5.699999809265137 0.15000000596046448 148780
True 44.81243896484375 0.1201659 0.05238274329450174 4.807943732928951 1.510211808840575 1.1006639721893556 43580.5 42980.5 6.300000190734863 0.15000000596046448 149348
True 42.047607421875 0.2368241 0.12373599030434332 3.9184902731038176 4.457223526860928 5.532417292700875 43580.5 42980.5 6.5 0.15000000596046448 149349
True 45.17390060424805 0.1199985 0.1785319944713232 2.3782028534407598 0.8479523552939925 5.937796216981684 43580.5 42980.5 5.900000095367432 0.15000000596046448 150642
True 45.16702651977539 0.1127426 0.034491021638320345 5.628865802106966 5.470026352579152 1.2446945150016204 43580.5 42980.5 6.800000190734863 0.15000000596046448 160091
True 44.06373977661133 0.0956953 0.04616325930256873 5.707396563699005 4.984722235559539 6.099267402298715 43580.5 42980.5 6.599999904632568 0.15000000596046448 160147
True 70.87217712402344 0.515076 0.2670596302947603 0.6908657318166413 3.9958202153603395 6.206710505949089 43580.5 42980.5 7.800000190734863 0.15000000596046448 160148
True 42.9482536315918 0.0599227 0.08562637980952639 1.8052489117825128 0.7072843862530889 3.9604249402604235 43580.5 42980.5 6.300000190734863 0.15000000596046448 160256
True 39.704933166503906 0.2359908 0.08709612015849229 2.7007793057410434 0.8891286873301981 0.38243515898901786 43580.5 42980.5 8.300000190734863 0.15000000596046448 168700
True 40.10027313232422 0.0823376 0.08576530527226606 0.4077953102063792 3.8581307922616075 6.1866467829286504 43580.5 42980.5 6.0 0.15000000596046448 168703
True 39.61355209350586 0.1982418 0.09819414492161137 5.020560394348735 5.856889383065076 5.990619484571187 43580.5 42980.5 8.0 0.15000000596046448 169071
True 46.11547088623047 0.1415274 0.37531576373642267 3.212338462683312 3.1427244970530768 4.779760564377078 43580.5 42980.5 3.4000000953674316 0.15000000596046448 174567
True 39.07008743286133 0.0652504 0.23292466289121055 1.473790284614597 1.5220499593601406 2.9178019008682545 43580.5 42980.5 4.300000190734863 0.15000000596046448 175113
True 44.014060974121094 0.0545441 0.13510261983053212 3.2790274784883136 0.7769514819470712 6.134166530487549 43580.5 42980.5 7.0 0.15000000596046448 181708
True 45.71202850341797 0.17776 0.5013666069497765 0.7269966385886647 0.7215048009467577 6.226942008118203 43580.5 42980.5 7.300000190734863 0.15000000596046448 181855
True 52.620880126953125 0.2865321 0.09589222498864457 5.335812621019083 2.580539446736729 0.6136142862332497 43580.5 42980.5 7.400000095367432 0.15000000596046448 181867
True 49.55693054199219 0.2931584 0.2916935707723706 5.311769602697847 4.477543445978232 5.8224808091490345 43580.5 42980.5 7.599999904632568 0.15000000596046448 181868
True 43.57268524169922 0.0817823 0.014147813385342474 4.862185400115031 2.7642988935327413 1.1204878775536329 43580.5 42980.5 7.400000095367432 0.15000000596046448 181871
True 53.12504196166992 0.258991 0.29985226464036924 3.4623682763609653 5.68526196661492 0.7484902127983671 43580.5 42980.5 7.0 0.15000000596046448 181874
True 122.01739501953125 0.6926129 0.4532845317594273 3.670667421021513 2.4052086384747082 0.14198165647236927 43580.5 42980.5 7.400000095367432 0.15000000596046448 181902
